,TWEET,USERNAME,DATE,TIME
0,truly sad news kathy obrien critic of cancer bell ringing dies at via,JeanSeely,2021-08-01,11:44:33
1,opinion my brain on ketamine in a struggle with depression a new drug gives me hope and more questions via,JDRichardsonMD,2021-08-01,22:09:28
2,t another area is having a brain injury memory loss etc is the implications of this on daytoday life grieving what wasis,clairehsnyman,2021-08-02,00:13:51
3,went on a tangent thinking about vaccines as swimming lessons for your immune system then just read about history of drowning in australia in the s there were gt deaths per k population a year and in it was less than,parsnipper,2021-08-02,16:06:37
4,great thread by some comments from the podium that the was important or that closure of was a deadly decisioncould have helpedthat platform amp almost no mention of opioid deaths for months,doreen_rabi,2021-08-04,23:32:11
5,treatment response with esketamine nasal spray plus an oral antidepressant in patients with treatmentresistant depression without evidence of early response a pooled post hoc analysis of the transform studies via,JDRichardsonMD,2021-08-10,16:39:37
6,ketamine treatment for depression in patients with a history of psychosis or current psychotic symptoms a systematic review via,JDRichardsonMD,2021-08-10,16:39:57
7,feeling the effects of this firsthand in both of my gta emergency departments with severe shortages of skilled and experienced nurses gaps are filled with new grads who are already getting burnt out from the increased workload and stress ontario should be very worried,indysahota,2021-08-10,16:43:34
8,exactly and the glorification of mds means we edit our stories leaving out the bits that make us appear vulnerable or falliable health care in its current form leaves almost no space for any human truths its sad amp terrifying all at once,doreen_rabi,2021-08-10,18:48:03
9,sorry for your familys loss erin may your memories comfort you and family during this difficult time,SammyChuMD1,2021-08-11,05:39:36
10,interviewed this am discussed covid public health responses and deaths public health should be able to do two things at once esp if they engage partners eager to act the continued silence amp inaction on this in alberta is shocking,doreen_rabi,2021-08-11,15:20:18
11,listening to perspectives from the people who live in paxton valley including one of our extended family who lost everything,parsnipper,2021-08-11,18:47:41
12,in case you were not convinced about the th wave in bc covid numbers surge as bc announces new cases and more death,DrMCGregoire,2021-08-11,23:25:55
13,arrogance amp ideology driven governments have patronizing amp disrespectful comms strategieswe see  peds hospital admissions in the us we see our cases at w a large of cases in ppl lt parents are justifiably concerned but dismisses this as pesky anxiety,doreen_rabi,2021-08-12,13:31:49
14,thanksim also interested in stories about the moment or period that things crystallized since changing ones mind is such an energy intense process i imagine like deciding to leave a bad relationship grief and loss of community but knowing its needed,parsnipper,2021-08-13,15:04:19
15,yes my convos reveal teens worry about the impact of class disruptions on higher ed ops online learning was fine loss of vacations sucked strict adherence of ph measures in school amp none in school parking lot was irksomeabsurd teachers stress was palpable,doreen_rabi,2021-08-13,18:25:03
16,that peacock is lost its slowly moving northeast,dr_oona,2021-08-14,00:48:09
17,we need to reexamine hc workforce planning the pandemic stress test shows what we are currently doing is not sustainable amp perhaps ethically questionable diversifying workforce national licensing using pharms amp rns to top of practice etcall important ,doreen_rabi,2021-08-18,14:10:34
18,it has been my privilege to chair the omas burnout task force struck to drive systemlevel change and support  today we launch our white paper on physician burnout and the top solutions to address this important issue,PEAKMD,2021-08-18,17:53:09
19,a huge shoutout to all the inspiring members of the burnout task force for their work dedication and commitment to addressing this issue,PEAKMD,2021-08-18,19:21:50
20,inappropriately ordered mri hips cause patient anxiety and misunderstanding  of the adult asymptomatic population has a labral tear on mri  if over and  if moderate oa rx standing ap pelvis and dunn view physiotherapy nsaids reevaluate,DocMcConks,2021-08-19,03:25:38
21,lots of anxiety amongst parents re return to school this fall how can we support these families drive vax rates in community cohorting masks q remains how to protect kids w medical complexity so they benefit from inclass learning too,EGruenwoldt,2021-08-19,12:14:07
22,a will answer wa q why do we expect a careful amp kind practice of medicine when training is often defined by exclusion cruelty amp dehumanization ppl become efficient to survive amp then enter a system that continues to award that this is in part why we have endemic burnout,doreen_rabi,2021-08-19,18:50:07
23,concrete recommendations to address system level issues to alleviate technostress and burnout in the recently launched white paper on physician burnout,PEAKMD,2021-08-20,11:55:22
