,TWEET,USERNAME,DATE,TIME
0,this mistake by government is an extremely serious one and will cause deaths,DrBrianDay,2018-08-03,13:52:46
1,vancouver records ghastly death count from suspected overdoses mayor,AnizKhalfan,2018-08-06,03:23:37
2,clare gerada in memoriamdoctors who have died by suicide or accidental death  via,AnizKhalfan,2018-08-13,04:44:23
3,i worry about how we ensure that human contact and relationships endure otherwise loneliness will prevail,DrRFernandez,2018-08-20,15:26:26
4,government believes it owns and controls the bodies of its citizens no concern for human rights as patients are forced to suffer permanent harm suffering and even death,DrBrianDay,2018-08-30,15:36:33
5,loneliness is a serious publichealth problem  all the lonely people social connections important for resilience for chronic pain,AnizKhalfan,2018-09-03,06:03:28
6,digital ambassadors are such a great idea  highly recommend this to and for upcoming events,DrRFernandez,2018-09-06,16:46:40
7,yes factors that impact resilience are social connections seeking professional support exercise sleep optimism emotional intelligence meaning making amongst others,AnizKhalfan,2018-09-15,01:38:10
8,lets spead the word new film pulls back curtain on physician suicide,AnizKhalfan,2018-09-15,20:15:49
9,a beautiful tribute mary so sorry for your loss,AnizKhalfan,2018-09-22,05:12:48
10,bc govt by april   of colonoscopy patients    will wait longer than the maximum acceptable time the oct ban on colonoscopy in private centres adds cancer patients to those wait lists eliminating a safety valve that existed for years deaths will result,DrBrianDay,2018-09-28,02:31:20
11,kavanaugh has revealed the insidious force in global politics toxic masculinity  jonathan freedland this sadly a man of our time how did this happen,AnizKhalfan,2018-09-29,13:18:56
12,md burnout an alarming problem cma president says via,AnizKhalfan,2018-10-10,12:26:17
13,bc government lawyers a functioning health care system must prioritize differently for elective conditions the prioritization process takes into account the fact that no risk of death arises with respect to elective surgerycontrast that with reality,DrBrianDay,2018-10-13,20:02:21
14,loneliness is a problem for seniors,DrRFernandez,2018-10-19,08:32:19
15,how a bench and a team of grandmothers can tackle depression via,DrSarahJCook,2018-10-19,14:06:20
16,sad to see that this happens baylor pediatrics residents gave advice to staff and we all got a sample of one at ,mclaughlin_tom,2018-10-20,20:07:17
17,work with patients to do a personal pain web to see various ways in which it impacts identity including relationships social isolation hobbies work wellness depression anxiety loss anger and need to address so much more other than just pain and activities of daily living,AnizKhalfan,2018-10-21,21:38:42
18,im sorry lisa thats sad,DocSchmadia,2018-10-25,11:23:23
19,its season and a is your best bet at avoiding serious health problems including heart attacks breathing problems pneumonia and possibly deathprotect yourself protect your loved one,DocSchmadia,2018-11-05,08:51:59
20,well said  role clarity is essential otherwise people really do confuse what a naturopath can do what a doctor does and as we saw in the case of the alberta toddlers death the difference is lifealtering and profound,DocSchmadia,2018-11-06,09:09:59
21,benefits from teambased care connecting family docs and specialists to interdisciplinary teams is a necessary stepgovernment education campaigns around  screen time stress bullying is also needed and missingmy cents,DocSchmadia,2018-11-10,22:17:23
22,sleuthsayers part  physician burn out and suicide the road t,AnizKhalfan,2018-11-11,15:53:26
23,truly a loss,JeanSeely,2018-11-16,10:17:40
24,on  i met family docs who struggle to keep their clinics afloat with thousands of patients between them they are seriously considering leavingits sadas it is it takes  years to get a family doc here,DocSchmadia,2018-11-19,00:30:33
25,you appear to be a sincere person all would love a system that offered everything to everyone at no cost sadly that cant happen we must care for the vulnerable but the rich can selfinsure every canadian government incl ndp has left the poor without accesssee cihi,DrBrianDay,2018-11-19,02:39:25
26,being a patient is hard the unknown the loss of control the roller coaster of emotions ive always been inspired to try to make that journey easier on my patientstotally agree,DocSchmadia,2018-11-29,13:19:27
27,icymi if everyone got the  we would decrease the number of deaths and complications from  even if youre young and healthy the time you save by preventing the flu mattersget the flu shot it just makes sensevia,DocSchmadia,2018-12-05,15:48:21
28,sadly these are basic guidelines that primary healthcare workers in the community should know the fact they dont may be a failure on our part to teach them properly,ShielaAppavoo,2018-12-09,01:09:57
29,rates of screened women deaths in purple unscreened women in red followed since about  i know which colour id rather be,ShielaAppavoo,2018-12-10,13:32:52
30,making that phone call from hospital in the middle of night bearing the news of sudden death of someones loved one is never easy,CalvinTongMD,2018-12-10,14:15:31
31,managing stress as a family doctor reschedule reprioritise recharge and review,DrRFernandez,2018-12-11,14:42:48
32,do you really feel thats why breast imagers are concerned about these guidelines this is from landmark study tell me which colour youd prefer to be screened are purple unscreened are red deaths per k,ShielaAppavoo,2018-12-12,19:15:27
33,some people think temporary anxiety is worse than unnecessary death and some people think saving budget money is better than saving lives,ShielaAppavoo,2018-12-13,04:19:17
34,yes kevin probably most reduction in longevity due to loneliness uk appointed a loneliness minister to address this montreal and toronto i understand gps giving out passes as prescription toward this,AnizKhalfan,2018-12-13,06:22:15
35,bars in red deaths from breast cancer in women not screened bars in purple  fewer deaths from breast cancer in women screened whats your choice,JeanSeely,2018-12-13,12:38:08
36,the reason for recommendations  number goal is to reduce deaths from breast cancer,JeanSeely,2018-12-14,12:44:04
37,this is the essence of the tradeoff between anxiety and late cancer detection overemphasis of harms leads to very bad things its wrongthinking,ShielaAppavoo,2018-12-14,13:39:23
38,the irony of that statement anxiety related to a possible cancer diagnosis is appropriate advising women to avoid that anxiety by potentially allowing the most common cause of death yo to go undetected now that is inappropriate,ShielaAppavoo,2018-12-14,14:30:47
39,there were more deaths in the screening limb in the first years because of this systematic error of randomizationthey also used mammo equipment that had been retired by the early s do you think the quality of evidence is limited to study design,ShielaAppavoo,2018-12-15,14:00:28
40,this is an excellent summary of the reasons why the task force guidelines are outdated and will cause loss of lives from,JeanSeely,2018-12-16,11:01:02
41,sadly the amount of work we have to do in a day doesnt permit this much time spent on each case if we did that the wait lists would become unthinkable the tradeoff for timely care must be time efficiency we need more hours in a day can you read your report and see images,ShielaAppavoo,2018-12-16,18:15:04
42, node positive and  palpable in the screening limb more deaths in screening limb in st yrssomething was rotten with the cnbss a few things actually ridiculously bad randomization and very poor imaging obsolete even for the early s,ShielaAppavoo,2018-12-18,04:13:07
43,new mothers absolutely need better medical care and emotional support as they make this important transition to motherhoodfamily doctors see moms and babies  times in the first months of life when we care for families together we do better,DrRFernandez,2018-12-19,23:09:47
44,this would be so good for our patients lets do this for bc new initiative to combat anxiety and loneliness via,AnizKhalfan,2018-12-22,12:50:17
45,sadly if he ignores his defence advisors he aint taking twitter advice,ShielaAppavoo,2018-12-22,16:58:37
46,holidays are a beautiful time for reflection and writing  great opportunity for  although im sad they didnt go with my suggested title the real housestaff of canada,bechardmel,2018-12-27,23:00:15
47,excellente analyse il faut investir fond dans une nouvelle education qui va permettre la masse de sadapter ce nouveau monde cf guerre des intelligences laurent alexandre,gsoulez,2019-01-12,13:45:37
48,the encouraging centrepieces are a nice touch thanks for lessening the royal college exam stress just a bit,bechardmel,2019-01-12,15:33:44
49,great thread enjoyed reading that of course much of it resonated sadly,indysahota,2019-01-14,22:50:33
50,the overestimate of overdiagnosis is shameful it is calculated at the overstatement of anxiety as a harm is ridiculous and always brings me back to this opinion piece which sums it up nicely,ShielaAppavoo,2019-01-15,02:26:18
51,we wish we could tell you how much you taught usto recognize our limits and embrace the realization that more is not always betterand we wish you could tell us whether we provided you with what we hoped in the end a dignified and comfortable death,DrRFernandez,2019-01-17,04:22:41
52,physician burnout now essentially a public health crisis via,AnizKhalfan,2019-01-21,00:55:32
53,i know a couple of people with significant postmeasles hearing loss id call that a preventable chronic health problem,ShielaAppavoo,2019-01-24,04:52:44
54,sadly the echoes of empire are heard in canada as well and are starting conversations about diversity in  maybe by the end of my career i wont have to answer this question anymore i mean where are youreallyfrom,DrRFernandez,2019-01-27,17:24:20
55,that makes me so sad,DrRFernandez,2019-01-28,05:04:33
56,i get that consolidation may save money but i mourn the loss of generalist hospitals i work in one amp value the fact that patients can get care closer to homeit means a lot to save them travel babysitting time off work and so on,DocSchmadia,2019-01-28,18:56:44
57,screening contributes by ensuring its only  death rates almost always due to mets are higher in nonscreened populations its a cruel disease screeners arent ignoring the plight of mbc pts we are trying to reduce their numbers,ShielaAppavoo,2019-01-29,02:24:14
58,sadly very few people realize that a yo drug trial may be valid molecule is the same but a yr old technology based trial its like making computer security policy based on an atari mammo is not pong any more,ShielaAppavoo,2019-01-29,03:55:54
59,sadly though the motivation for pharmaceutical ramp is money no money no better drugs unless of course we are willing to pay for the independent research with tax dollars,ShielaAppavoo,2019-01-29,16:11:32
60,by the age of  one in two canadians will have or had a mental illness depression is the most common,DocSchmadia,2019-01-30,15:09:58
61,rates of depression in teens have doubled rates of feeling left out or lonely have doubled,DocSchmadia,2019-01-30,15:11:16
62,never thought id find myself sad to have no egrets,ShielaAppavoo,2019-01-31,15:04:01
63,to raise awareness for womens health heart diseases and stroke caused death in women this is closest to ive got but it doesnt lessen my support talk to your doctor about and ,CalvinTongMD,2019-02-01,18:53:28
64,nobody really won  the patriots just loss less,mclaughlin_tom,2019-02-04,03:07:27
65,from what i understand opiates may be overtaking as the number one cause of death in women under  i sympathize with your struggle,ShielaAppavoo,2019-02-04,05:38:28
66,good luck i know its stressful,ShielaAppavoo,2019-02-04,11:54:06
67,im reminded of that dentists saying only floss the teeth you want to keepmy new breast screening recommendation only get screened if you want to minimize your chance of dying of breast cancer,ShielaAppavoo,2019-02-05,14:23:58
