,TWEET,USERNAME,DATE,TIME
0,summer is the time for lots of fun activities for kids however some may be loud enough to cause hearing damage or loss heres a list of activities to make note of and options,HamHealthSci,2018-08-01,22:05:00
1,sad case the shocking reason a mans legs and hands were amputated a dogs saliva  the star,IBmectin,2018-08-02,11:33:59
2,daniel is turning his near death experience into a positive as an ambassador for s strides for the general join him in supporting excellent care in ,HamHealthSci,2018-08-05,19:49:00
3,daniel fell while running and hurt his leg a few weeks later he was staring death in the face,HamHealthSci,2018-08-05,22:47:01
4,joey and brandon have been best friends since childhood their neardeath experiences brought them even closer together see how theyre using their story to support ,HamHealthSci,2018-08-08,13:17:08
5,when maureen was being treated for cancer at msh her grandson jacob asked his mom if they could buy her a bear sadly maureen passed away in march as a tribute the tzogas family has brought nanny bear on a road trip to one of maureens favourite places disney world,OakValleyHealth,2018-08-08,14:43:40
6,sad i cant make it will be in the uk highly recommend others check it out,catriona_hippma,2018-08-09,19:48:45
7,how do we view death less as a medical event and more as an event that happens in the context of the family and community how do we change our medical care to reflect this,AmitAryaMD,2018-08-10,10:00:13
8,the majority of palliative patients die in hospital not in their home or in a residential hospicehow do we help patients die in their preferredplace of death read the latest research on quorum,OntarioHealthOH,2018-08-10,13:50:11
9, re embolic protection devices in tavi there is a clinical event metaanalysis that showed a stat sig treatment effect favouring epd for a composite endpoint of deathstroke,RodrigoBagur,2018-08-12,21:24:54
10, re embolic protection devices in tavi there is a clinical event metaanalysis that showed a stat sig treatment effect favouring epd for a composite endpoint of deathstroke,RodrigoBagur,2018-08-12,21:32:10
11,great man caring physician a great loss,JohnsonNeilG,2018-08-12,22:51:52
12,visit quorum to learn how and are improving care for patients with major depression using ,OntarioHealthOH,2018-08-15,20:25:07
13,this woman lost her son to fentanyl he was ,IBmectin,2018-08-15,21:57:44
14,because people increasingly shun discussion of dying their firstever real discussion of endoflife preferences is often held near the point of death with attendant anxiety sadness and family tensionsa wonderfully written and profound article by,AmitAryaMD,2018-08-16,09:45:53
15,in ontario id order a nephrology econsult in order to get advice the turnaround time is quick less than week and can save the family physicianpatient several weeks of anxiety waiting for an inperson assessment check out,allan_k_grillMD,2018-08-26,12:04:40
16,can be a stressful time for both parents and students here are some helpful tips to make the transition as stressfree as possible,OakValleyHealth,2018-08-30,14:40:18
17,we tried for more than years now and still zero  pharmacist dedicated to stewarship where i work sadly not a priority for our administration ,sebpoule,2018-09-01,21:35:21
