,TWEET,USERNAME,DATE,TIME
0,its concerning that he has made himself famous by accusing others of greed he still has a following upon whom the irony of his continued accusations of coi are lost we are all prone to cults of personality i suppose,ShielaAppavoo,2020-01-03,22:26:28
1,thats whats so infuriating about depression the black dog it feels like its wet fur is smothering us the dog pulls us into unfamiliar and terrifying territory you are not the black dog and im so sorry it has taken over for now pls dm if you want you are loved,dr_oona,2020-01-04,02:51:25
2,these men should consider i sexism contributes to burnout ii if women have more life balance issues its probably because their often male partners are not pulling their weight at home these wise words are as offensive as they are incorrect,bechardmel,2020-01-04,18:51:06
3,bills what are you doing i dont care who your kicker is th and is not happening what a colossal disaster epic fail,DocMcConks,2020-01-05,00:25:37
4,ask the husband of my yo friend who died last month of breast cancer about the harms he wishes the abnormal report of her screening mammography had been received by her md and not lost for years until she presented with lymph node metastases,JeanSeely,2020-01-05,23:27:05
5,im sorry for the loss of your patient  i have found team members can learn a lot and gain closure from reviewing these events and outcomes in detail,ShelleyZieroth,2020-01-06,04:04:20
6,there is so much sadness going on in the world please enjoy a tortoise chasing a small iguana  too many days i feel stressed like the iguana but i am working toward the goal of being as calm amp patient as the tortoise slow and steady win the race,DrMCGregoire,2020-01-07,00:51:35
7,wow martha i send twitter hug this is way more common than i thought st trim losses for me i took a day off to have a reqd dc  a pt made a complaint that i was not avail to discuss a result took off the time that u shouldnt operate heavy machinery  back work,ShelleyZieroth,2020-01-09,01:21:02
8,the world just lost a little bit of rhythm rest in peace neil peart thankyou for your words and music it was such a privilege to experience a true master of his craft doing exactly what hes meant to do,bechardmel,2020-01-10,22:54:45
9,calling all med students residents and earlycareer physicians join the cma ambassador program before feb for a chance to attend a healthrelated event this year with your travel accommodation and registration expenses covered details,DoctorsOfBC,2020-01-13,21:05:10
10,perhaps the proposed cuts are why some doctors are considering leaving alberta may no longer be financially feasible to operate a small business in alberta job loss for supporting staff at doctors offices an unintended consequence of healthcare cuts to family docs,KimKellyMD,2020-01-14,06:00:02
11,to our leaders is physician burnout your fault,PEAKMD,2020-01-18,13:03:52
12,hearing stories of difficult travel today numerous medical students struggling to get to interviews why do we continue to have this histress hicost system we can do better,PEAKMD,2020-01-18,22:43:03
13,congrats well deserved happy to serve as your honorary international senior ambassador,ShelleyZieroth,2020-01-22,23:28:04
14,how about stress and burnout in the canadian workforce esp among professionals we depend upon for our own health such as physicians,PEAKMD,2020-01-23,23:59:49
15,you lost me smarty pants translation ,ShelleyZieroth,2020-01-29,03:01:12
16,saw my psychologist today to discuss grief and workcareer stressors referred to her by pfsp,KimKellyMD,2020-01-29,22:37:38
17,i couldnt sleep in part unease about sharing yesterday that i have sought help to improve my  in part sadness that so few feel able to share their own struggles with and  ,KimKellyMD,2020-01-30,13:58:12
18,physicians die by suicide at x the rate of the general population culture will not change until our are vulnerable and courageous and rolemodel that we are not superhuman we struggle with and just like everybody else ,KimKellyMD,2020-01-30,13:58:14
19,trigger suicideremember  dont stop the discussion continue to listen without judgement when depression is like a cancer,DrMCGregoire,2020-02-03,06:10:57
20,radiolab dr death,kselandMD,2020-02-03,14:58:06
21,thread by nephrologist about death and dying in the st centuryblew me away,DocSchmadia,2020-02-04,01:50:16
22,being able to bring a patient from the brink of death to being able to discharge that same patient home is hands down one of the best feelings and most humble experience in the world,CalvinTongMD,2020-02-04,02:49:12
23,opportunity for all  amp earlycareer  join ambassador program before feb for a chance to attend a healthrelated event this year with your travel accommodation amp registration expenses covered,DoctorsOfBC,2020-02-05,22:46:46
24,so sad to have missed this thank you for all that we learn from you and now keith dont you forget the fish tacos,AnizKhalfan,2020-02-16,22:55:36
25,the one thing challenging breast cancer for the dubious honour of cause of death in women  is opiate overdose,ShielaAppavoo,2020-02-17,02:28:31
26,sounds incredible  awaiting her arrival in in a couple of months welcome home  so sorry for your loss,ShelleyZieroth,2020-02-19,20:36:31
27,how very sad this all is sad most importantly for patients their families amp communities who may well lose their primary care physicians amp allied health care providers including nurses the landscape here in british columbia for primary care holds great promise our gov cares,awruddiman,2020-02-21,20:35:13
28,frequently seen issues in family practice that take  concussion depression anxiety cognitive impairment frail elderly chronic pain management unintendedpregnancy failure to thrive breastfeeding problems eating disorders accident follow up ,dr_oona,2020-02-22,06:24:55
29,in between patient visits family docs are reading patient consults and updating patient files managing requests for notesformslost prescriptions taking calls from patient caregivers writing meaningful referral letters oh and attending to biological needs,dr_oona,2020-02-22,16:14:33
30,from stress to and  weight gain to high blood pressure and increased risk of heart attacks bullying has negative mental and physical effects is a serious problem that deserves a serious response ,DoctorsOfBC,2020-02-24,18:30:37
31,shocked  to learn of my colleagues successful completion of suicide knowing his strong advocacy i think hed want us to say the words out loud to for physicians learners and patients rip dear colleague who constantly fought for a better system,KimKellyMD,2020-02-24,18:46:13
32,every year an estimated to people die in the world due to complications from seasonal influenza flu viruses this figure corresponds to to deaths per day due to the seasonal flu,awruddiman,2020-02-25,07:51:56
33,midwives see patientsyear thru pregnancy labor delivery amp postpartum care care for  patientsyear thru everything birth pregnancy teen mental health heart failure diabetes death etcno the two are just not the same,DocSchmadia,2020-02-25,12:00:08
34,sad truths stagnating alberta,KimKellyMD,2020-02-26,14:11:42
35,such sad news for  the keychain toys are essential in the for turning tears into smiles thanks for bringing magic to kids young and old for years,bechardmel,2020-02-27,01:59:37
36,dr prince in medicine hat sounds the alarm he warns of a death spiral of physicians resources placing a burden on those who remain who in turn burn out quicker and give up themselves that is what he faced years ago,KimKellyMD,2020-02-28,21:12:54
37,sadly im in agreement and am considering what are we doing about this in ,KimKellyMD,2020-02-29,01:49:30
38,nonuniversal health care and epidemic can become a perfect storm worries about medical bills and lost pay may hamper coronavirus efforts in the united states,DrMCGregoire,2020-03-03,05:37:17
39,i have helped patients navigate life transitions like divorce childbearing menopause deathmy elderly patients have chosen me as their valentinei have done countless housecalls to better understand the frailty many elderly patients live with,DocSchmadia,2020-03-04,12:13:37
40,taxpayers should be outraged in weeks has destroyed years of work to keep ab trained docs in ab this md grew up in barrhead planned to practice in ab and just accepted a job in bc corbella loss of doctors would hurt all albertans,KimKellyMD,2020-03-04,15:55:24
41,a sat phone or cb radio in a true emergency keeping informed amp up to date is paramount would have to assume in a catastrophic emergency all bets are off  disruption of civility loss of law amp order depletion of store bought goods  sold  looting etc,awruddiman,2020-03-04,20:37:18
42,loss of funding for is devastating for  local data shows at least half of perinatal patients struggle w mental health issues how can we support these families,dr_oona,2020-03-06,02:31:34
43, at first the number seems staggering right question i would pose is this for individual folks is this loss really a true measure of the impact on our quality of life or is this a crude measure of the insatiable appetite modern society has for mass consumerism,awruddiman,2020-03-06,16:54:12
44,today im a family member of a of patient using the healthcare system have spoken with allied healthcare staff who are stressed about losing their jobs workloads increasing because of less overtime allowed and increasing burnout of themselves and colleagues,KimKellyMD,2020-03-06,20:48:58
45,this is amazing and sad absolutely true that every line in there is tweetable,DocMcConks,2020-03-07,02:04:22
46, this truly is both a landmark and epic canadian road trip for an all electric vehicle not a controlled environment but actual winter conditions range anxiety is truly a nonissue for those thinking of switching to an ,awruddiman,2020-03-08,13:26:44
47,very well played in the  a very well deserved bronze medal win over the  while my rugby heart emotionally always lies with the country of my upbringing  my true heart is so proud for my adoptive country amp the land of my citizenship ,awruddiman,2020-03-09,02:44:03
48,overdose deaths are at the lowest levels in more than three years so and how do you justify discontinuing programs that are working like ioat and scs,KimKellyMD,2020-03-09,18:09:13
49,containment is the only way to decrease the number of hospitalizations and deaths from ,DocSchmadia,2020-03-11,12:04:22
50,very sad news please if you are hoarding ppe mask gloves gowns at home and you dont need them please share them with front line health care workers who put their lives at risk to provide care to the population worldwide supplies are low,DrMCGregoire,2020-03-12,19:14:07
51,sad to not see everyone but your safety is most important thank you to executive pc  faculty  our sponsors for your support as we go virtual,ShelleyZieroth,2020-03-12,19:28:49
52,many family doctors will step up to help in the care of patients with and without  i certainly will yet there is a global shortage of face masks hospitals have stockpiles but family doctor offices do notim sorry to hear of this fine doctors death,DocSchmadia,2020-03-13,10:24:12
53,a lot of stress that has been so very palpable all day long today at the clinic covid will have a tremendous mental health toll lets all do our bit to support one another,AnizKhalfan,2020-03-14,04:18:55
