,TWEET,USERNAME,DATE,TIME
0,me its a time to try new things herere a few memorable ones silent disco bringing polaroid back my cousins homemade coconut facial cream learning to cook amp destressing with a friends inflatable punching bag what about u,yvonneychan,2020-01-01,15:44:43
1,parents pen book to help children facing death,mch_childrens,2020-01-03,14:52:40
2,outpatient specialist needs rounds reduce hospital use for residents for this vulnerable population with high symptom burden amp significant risk of death within a year our system must do better to provide these essential services,AmitAryaMD,2020-01-03,17:23:26
3,it is with deep sadness that i announce the passing of my beloved father colin brasg overnight on january the nd i am heartbrokeni appreciate your support during this very difficult time,IBmectin,2020-01-03,19:18:29
4, stark global inequities exist with access to pain medicine amp services a lot more work is to be done to improve quality of life amp death for those with serious illness in developing countries such as india,AmitAryaMD,2020-01-04,15:56:21
5,someones mother has four sons north south and east what is the name of the fourth son private message me the name of the fourth son if you lose you have to repost i lost to ,allan_k_grillMD,2020-01-05,21:20:01
6,such an incredible tragedy and loss prayers for the victims their families and loved ones,masood_sameer,2020-01-08,18:43:18
7,these parents have made something beautiful from a horrific loss,mch_childrens,2020-01-09,01:11:31
8,the tragedy of the plane crash in iran is close to home with the loss of two concordia alumni who were returning from their wedding in iran,DrNadiaChaudhri,2020-01-09,13:05:22
9,im very sorry for your loss,DrNadiaChaudhri,2020-01-09,13:08:32
10,i dont read arabic but i think youre sad because your sultan died i heard he was an amazing person my condolences,drzieglergyn,2020-01-11,05:51:24
11,the standard reply form insurers is that first and last patient should be treated the same way but as you clearly examplify  were not robots our care for people naturally fluctuates and susceptible to human emotionsstressors  cant be sorry for being human ,DocMaximum,2020-01-11,14:49:36
12,you have a voice weigh in who should get a medically assisted death canadians get weeks to weigh in on new limits,PackerTamar,2020-01-13,14:57:31
13,we all share the anguish of our fellow canadians over the tragic loss of life last week in iran and its impact on our community in solidarity with our colleagues at mcmaster university we invite everyone in our hospitals to observe a moment of silence today at pm,HamHealthSci,2020-01-15,14:58:06
14,we experienced facilitywide water loss due to an issue with the main water valve the issue is resolved and water service will return to all areas of the site over the next few hours patient care continues to be provided at the site and the emergency department remains open,mch_childrens,2020-01-16,03:56:26
15,needs to be a core rotation for all health care professionals also leap should be a requirement for clinical practice just like acls improving the quality of life amp death should be valued as much as prolonging life,AmitAryaMD,2020-01-16,22:15:08
16,youre not old yet sadikahim old,drzieglergyn,2020-01-19,15:29:33
17,you cant be sad when you are holding a cupcake great to see these words of wisdom and others by youth and for youth in the inpatient and outpatient mental health unit  important for every day but good to highlight on ,BrucePSquires,2020-01-20,13:44:17
