,Unnamed: 0,Unnamed: 0.1,TWEET,USERNAME,DATE,TIME,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score,Final_label
0,0,0,truly sad news kathy obrien critic of cancer bell ringing dies at via,JeanSeely,2021-08-01,11:44:33,negative,0.9352788925170898,negative,0.9301990866661072,sadness,0.9951966404914856,negative,0.9746865034103394,negative,0.7004390358924866,negative
1,1,1,opinion my brain on ketamine in a struggle with depression a new drug gives me hope and more questions via,JDRichardsonMD,2021-08-01,22:09:28,neutral,0.8840891122817993,positive,0.5276880264282227,joy,0.5560675263404846,positive,0.8021390438079834,negative,0.3797796368598938,positive
2,2,2,t another area is having a brain injury memory loss etc is the implications of this on daytoday life grieving what wasis,clairehsnyman,2021-08-02,00:13:51,negative,0.8599509000778198,negative,0.6826911568641663,sadness,0.9983819723129272,negative,0.5457947850227356,negative,0.5870322585105896,negative
3,3,3,went on a tangent thinking about vaccines as swimming lessons for your immune system then just read about history of drowning in australia in the s there were gt deaths per k population a year and in it was less than,parsnipper,2021-08-02,16:06:37,negative,0.6687777638435364,neutral,0.5528494119644165,fear,0.8627487421035767,negative,0.9991233944892884,negative,0.38644570112228394,negative
4,4,4,great thread by some comments from the podium that the was important or that closure of was a deadly decisioncould have helpedthat platform amp almost no mention of opioid deaths for months,doreen_rabi,2021-08-04,23:32:11,neutral,0.7528019547462463,positive,0.5278646349906921,anger,0.917072892189026,positive,0.9863989353179932,negative,0.4051162600517273,positive
5,5,5,treatment response with esketamine nasal spray plus an oral antidepressant in patients with treatmentresistant depression without evidence of early response a pooled post hoc analysis of the transform studies via,JDRichardsonMD,2021-08-10,16:39:37,neutral,0.9735192656517028,neutral,0.830647349357605,fear,0.7016830444335938,positive,0.703467607498169,negative,0.3684617280960083,neutral
6,6,6,ketamine treatment for depression in patients with a history of psychosis or current psychotic symptoms a systematic review via,JDRichardsonMD,2021-08-10,16:39:57,neutral,0.8949375748634338,neutral,0.6616857051849365,fear,0.3907972276210785,positive,0.9789298176765442,negative,0.398598313331604,neutral
7,7,7,feeling the effects of this firsthand in both of my gta emergency departments with severe shortages of skilled and experienced nurses gaps are filled with new grads who are already getting burnt out from the increased workload and stress ontario should be very worried,indysahota,2021-08-10,16:43:34,negative,0.9432279467582704,negative,0.945509433746338,fear,0.9495590925216676,negative,0.5804328322410583,negative,0.401187539100647,negative
8,8,8,exactly and the glorification of mds means we edit our stories leaving out the bits that make us appear vulnerable or falliable health care in its current form leaves almost no space for any human truths its sad amp terrifying all at once,doreen_rabi,2021-08-10,18:48:03,negative,0.9712812900543212,negative,0.9397339820861816,fear,0.9964721202850342,negative,0.8377056121826172,positive,0.3395318388938904,negative
9,9,9,sorry for your familys loss erin may your memories comfort you and family during this difficult time,SammyChuMD1,2021-08-11,05:39:36,neutral,0.5925135612487793,neutral,0.551007866859436,joy,0.7476022839546204,positive,0.9492009282112122,negative,0.38317346572875977,neutral
10,10,10,interviewed this am discussed covid public health responses and deaths public health should be able to do two things at once esp if they engage partners eager to act the continued silence amp inaction on this in alberta is shocking,doreen_rabi,2021-08-11,15:20:18,negative,0.7189738154411316,neutral,0.5230001211166382,joy,0.7771022915840149,negative,0.9817044734954834,negative,0.39895400404930115,negative
11,11,11,listening to perspectives from the people who live in paxton valley including one of our extended family who lost everything,parsnipper,2021-08-11,18:47:41,neutral,0.7427030205726624,neutral,0.6571770906448364,sadness,0.9984682202339172,positive,0.9996570348739624,neutral,0.38155439496040344,neutral
12,12,12,in case you were not convinced about the th wave in bc covid numbers surge as bc announces new cases and more death,DrMCGregoire,2021-08-11,23:25:55,negative,0.9323289394378662,negative,0.5675474405288696,joy,0.996266543865204,negative,0.960300624370575,negative,0.36361658573150635,negative
13,13,13,arrogance amp ideology driven governments have patronizing amp disrespectful comms strategieswe see  peds hospital admissions in the us we see our cases at w a large of cases in ppl lt parents are justifiably concerned but dismisses this as pesky anxiety,doreen_rabi,2021-08-12,13:31:49,negative,0.9765610694885254,negative,0.6543020009994507,anger,0.982105016708374,negative,0.9963149428367616,negative,0.48095783591270447,negative
14,14,14,thanksim also interested in stories about the moment or period that things crystallized since changing ones mind is such an energy intense process i imagine like deciding to leave a bad relationship grief and loss of community but knowing its needed,parsnipper,2021-08-13,15:04:19,neutral,0.9321656227111816,neutral,0.6746155619621277,joy,0.9903976917266846,positive,0.9975122213363647,positive,0.3505776822566986,neutral
15,15,15,yes my convos reveal teens worry about the impact of class disruptions on higher ed ops online learning was fine loss of vacations sucked strict adherence of ph measures in school amp none in school parking lot was irksomeabsurd teachers stress was palpable,doreen_rabi,2021-08-13,18:25:03,negative,0.9746505618095398,negative,0.6665458083152771,joy,0.969822645187378,positive,0.6780326962471008,negative,0.4089623987674713,negative
16,16,16,that peacock is lost its slowly moving northeast,dr_oona,2021-08-14,00:48:09,neutral,0.8586996793746948,neutral,0.5592130422592163,sadness,0.9978055357933044,negative,0.991978645324707,negative,0.3745788335800171,negative
17,17,17,we need to reexamine hc workforce planning the pandemic stress test shows what we are currently doing is not sustainable amp perhaps ethically questionable diversifying workforce national licensing using pharms amp rns to top of practice etcall important ,doreen_rabi,2021-08-18,14:10:34,negative,0.7942485809326172,negative,0.6904453039169312,joy,0.9923006296157836,negative,0.9982068538665771,neutral,0.3429110646247864,negative
18,18,18,it has been my privilege to chair the omas burnout task force struck to drive systemlevel change and support  today we launch our white paper on physician burnout and the top solutions to address this important issue,PEAKMD,2021-08-18,17:53:09,positive,0.6847150921821594,positive,0.8568316698074341,joy,0.6876586675643921,positive,0.9914596080780028,negative,0.39882171154022217,positive
19,19,19,a huge shoutout to all the inspiring members of the burnout task force for their work dedication and commitment to addressing this issue,PEAKMD,2021-08-18,19:21:50,positive,0.98430597782135,positive,0.9690091013908386,joy,0.9967908263206482,positive,0.9928200840950012,positive,0.5186511278152466,positive
20,20,20,inappropriately ordered mri hips cause patient anxiety and misunderstanding  of the adult asymptomatic population has a labral tear on mri  if over and  if moderate oa rx standing ap pelvis and dunn view physiotherapy nsaids reevaluate,DocMcConks,2021-08-19,03:25:38,negative,0.9137604832649232,negative,0.7204132080078125,fear,0.9830255508422852,negative,0.9998186230659484,negative,0.41837459802627563,negative
21,21,21,lots of anxiety amongst parents re return to school this fall how can we support these families drive vax rates in community cohorting masks q remains how to protect kids w medical complexity so they benefit from inclass learning too,EGruenwoldt,2021-08-19,12:14:07,neutral,0.5016123652458191,neutral,0.6508449912071228,joy,0.9703713655471802,negative,0.8235343098640442,negative,0.3928534984588623,negative
22,22,22,a will answer wa q why do we expect a careful amp kind practice of medicine when training is often defined by exclusion cruelty amp dehumanization ppl become efficient to survive amp then enter a system that continues to award that this is in part why we have endemic burnout,doreen_rabi,2021-08-19,18:50:07,negative,0.8931870460510254,negative,0.6249081492424011,joy,0.9914129972457886,positive,0.9578092098236084,negative,0.37863826751708984,negative
23,23,23,concrete recommendations to address system level issues to alleviate technostress and burnout in the recently launched white paper on physician burnout,PEAKMD,2021-08-20,11:55:22,neutral,0.6462398171424866,neutral,0.8391208648681641,joy,0.5086734294891357,positive,0.9955869913101196,negative,0.4279305338859558,neutral
24,24,24,defund and neglect public health services gt standby and do nothing as hcws burnout and the system starts to fall apart gt present private healthcare as a viable alternative to the crisis gt public acceptance of the alternative,indysahota,2021-08-20,18:33:09,negative,0.871720016002655,negative,0.845601499080658,joy,0.9953439831733704,negative,0.9999290704727172,negative,0.38895371556282043,negative
25,25,25,r sue amp larry you bothmy sad takes pcc amp patient engagement r operationalized in pateralistic ways so those terms are meaningless  power gap bw mds amp pts means that engagement  tokenism lived experience is a valuable but disregarded way of knowing,doreen_rabi,2021-08-20,21:47:10,neutral,0.5133190751075745,negative,0.5878717303276062,sadness,0.9509965181350708,negative,0.9472326636314392,negative,0.43134018778800964,negative
26,26,26,sad as guess where the folks from ashcroft come when theyre sick we have to build capacity for our whole region we all depend on each other,parsnipper,2021-08-21,04:40:53,negative,0.6601840853691101,neutral,0.5306070446968079,sadness,0.9815461039543152,negative,0.9809377789497375,negative,0.3927631974220276,negative
27,27,27, incorporate wildfire season into our expectations for summers going forward i am not sure we were mentallyemotionally prepared this time and of course get vaccinated there is one burden on our system right now that is almost entirely preventable ,parsnipper,2021-08-21,17:17:34,negative,0.9018896222114564,negative,0.7510144114494324,joy,0.9972654581069946,positive,0.9853545427322388,positive,0.3502049744129181,negative
28,28,28,context is everything amp this headline with telling fact should more aptly read nearly  of doctors nurses amp other frontline healthcare workers are experiencing burnout the pandemic is still very much upon us and this th wave is crushing,awruddiman,2021-08-21,17:23:21,negative,0.8841643929481506,negative,0.6130903959274292,sadness,0.991988718509674,negative,0.9929394721984864,negative,0.445587694644928,negative
29,29,29,i think this speaks to workplace culture im fortunate to work in a team that feels very healthy i cant speak for others but in any organization i think workplace culture can influence the experience of stress,parsnipper,2021-08-21,20:39:59,positive,0.8636003732681274,positive,0.816026508808136,joy,0.9986182451248168,positive,0.9990007281303406,positive,0.3754923641681671,positive
30,30,30,as i work away here in n ontario i am aware of several communities losing physicians to burnout retirement etc and there is no lineup to replace them its heartbreaking for the physicians and devastating for patients who now have to travel farther or wait longer for care,snewbery1,2021-08-22,17:45:34,negative,0.9683583974838256,negative,0.914734661579132,sadness,0.9972572922706604,positive,0.9310684204101562,negative,0.5886895656585693,negative
31,31,31,this is such an important observation physicians will sacrifice other things before their burnout impacts patient care to paraphrase  lesser quality patient care is a late stage sign and we need to take urgent action before this,snewbery1,2021-08-22,18:29:24,negative,0.7227227091789246,neutral,0.5154464840888977,anger,0.6969514489173889,positive,0.6167324781417847,negative,0.4295674264431,negative
32,32,32,agree with this whole thread those choosing not to get vaccinated are making choices for many others my kids cant get vaccinated so we continue to live in anxiety worry about school again this year avoid travel it should not be a choice no vaccine  no public resources,DocMcConks,2021-08-22,20:51:25,negative,0.8404510021209717,negative,0.9079179763793944,sadness,0.3372268676757812,negative,0.8896515369415283,neutral,0.34270575642585754,negative
33,33,33,today has saddened me in so many ways  im physically and emotionally exhausted right now to be honest i need to check out for a while community  family  friends  self for just a tad,awruddiman,2021-08-22,23:31:33,negative,0.9333078265190125,negative,0.9397105574607848,sadness,0.99824059009552,positive,0.7075529098510742,negative,0.5248801112174988,negative
34,34,34,sad news  it there is one thing this pandemic has taught us is that representation matters very sorry,DrMCGregoire,2021-08-24,11:50:16,negative,0.9732843041419984,negative,0.8100185990333557,sadness,0.9984764456748962,negative,0.9998071789741516,negative,0.3983229696750641,negative
35,35,35,beautiful piece by  compassionate systems make space for loss grief amp illnessorganizational cultures ie academic medicine that dont crush their people prioritize compassion its worth it via part of,doreen_rabi,2021-08-25,15:54:06,positive,0.9361152052879332,positive,0.8862069249153137,joy,0.7264766693115234,positive,0.9998748302459716,positive,0.4076775014400482,positive
36,36,36, twenty five years ago janet shaw amp dr david shaw welcomed our young family to oliver to join them in general practice in this community janet is most deserving of this recognition  a woman we admire and a stellar ambassador for life,awruddiman,2021-08-26,04:49:55,positive,0.9917804598808287,positive,0.9783187508583068,joy,0.9971826076507568,positive,0.9630261659622192,positive,0.45243480801582336,positive
37,37,37,such a presser would make national headlines which poses a problem for federal politicians that are close to kenney a sad reminder that politics are about power amp not public service,doreen_rabi,2021-08-26,17:13:10,negative,0.945807933807373,negative,0.824443519115448,sadness,0.9978095889091492,negative,0.9612677693367004,negative,0.4008151590824127,negative
38,38,38,parents are not ok neither are doctors nurses teachers childcare workers restaurant employees or academics its beyond burnout im not just done ive been radicalized how about youvia,DrRFernandez,2021-08-28,17:20:18,negative,0.9819980263710022,negative,0.9357841610908508,anger,0.9801210165023804,negative,0.9997758269309998,negative,0.40979260206222534,negative
39,39,39,sadly this scenario is amp will become repeated more amp more as we work our way through t th wave of amp the ravages of the  we did everything we were supposed to do for this couple missed one readily obvious amp available opportunity to ,awruddiman,2021-08-30,01:05:33,negative,0.9464112520217896,negative,0.641841471195221,sadness,0.9983252882957458,negative,0.9950647950172424,negative,0.4195694327354431,negative
40,40,40, similar experience for us amp our that weve owned since early  had initial concerns of range anxiety with the car rated to easily do km  charge that quickly disappeared  so many options out there now  we have never had a problem on our wide travels,awruddiman,2021-08-31,20:30:13,neutral,0.8526425957679749,positive,0.6233493685722351,sadness,0.9938766360282898,positive,0.954913318157196,positive,0.3744749426841736,positive
41,41,41,antivax protest outside my hospital today  in case a global pandemic demoralizing th wave critical nursing shortage and record burnout levels amongst healthcare workers wasnt enoughcool,indysahota,2021-09-01,20:44:39,negative,0.97115558385849,negative,0.7330808639526367,sadness,0.6740013360977173,positive,0.7155308723449707,positive,0.3659258186817169,negative
42,42,42,im so sorry i was reading about this and cannot imagine the anxiety and fear you and her family are facing may she come home safely,clairehsnyman,2021-09-01,22:40:55,negative,0.6960362792015076,negative,0.833863377571106,sadness,0.4920729696750641,negative,0.9994361996650696,negative,0.43046775460243225,negative
43,43,43,ectopic pregnancies will not be cured by sma an ectopic pregnancy is a medical emergency that hospitals must managesigns can include abdominal pain bleeding shoulder pain and faintingloss of consciousnessan ectopic does not mean an abortion took place,BirthControlDoc,2021-09-02,01:54:03,negative,0.914292812347412,negative,0.8241775035858154,fear,0.5521364808082581,negative,0.9995336532592772,negative,0.4113938510417938,negative
44,44,44,in my thirty years as a physician amp healthcare worker who has worked in four canadian provinces i have experienced many professional highs amp sadly the occasional low the athospital protests today bar none are the most disrespectful ultimate low,awruddiman,2021-09-02,04:23:39,negative,0.9660708904266356,negative,0.488538533449173,anger,0.976650893688202,negative,0.9268940687179564,negative,0.4478912651538849,negative
45,45,45, the ctu rns i worked w as a resident that held weeping family members and med staff after an unexpected death the ctu rns i work w as a resident that left cheeky notes for my colleagues to keep our chins and confidence up ,doreen_rabi,2021-09-02,15:12:00,neutral,0.8252256512641907,neutral,0.6791483163833618,anger,0.8791000843048096,positive,0.9990468621253968,negative,0.39544177055358887,neutral
46,46,46,omgjason kenney is talking burnout prevention amp the importance of me time on fb liveonce again the premier of alberta puts his loathsome privilege out on display,doreen_rabi,2021-09-02,16:28:58,negative,0.9065346121788024,negative,0.8218761682510376,sadness,0.6092791557312012,positive,0.9631091952323914,negative,0.4013405442237854,negative
47,47,47,i am so sorry for your loss her familys and everyone in the community that she was a part of i know she will leave a gaping hole as a result of her tremendous personality perseverance and commitment,clairehsnyman,2021-09-04,22:02:04,neutral,0.6379179358482361,neutral,0.3989240229129791,joy,0.88870769739151,positive,0.978150486946106,negative,0.41724780201911926,neutral
48,48,48,a great thread by on whats being asked of all canadians as we face the ongoing pandemic embedded in his pragmatic appeal is the pressing need for us to regain our civility towards each other if not the thin veneer of democracy is lost,awruddiman,2021-09-05,18:33:02,positive,0.5088310837745667,positive,0.4931780695915222,joy,0.9203519821166992,positive,0.9971060156822203,positive,0.36274948716163635,positive
49,49,49,sad news in ab watch and learn bc,DrMCGregoire,2021-09-08,06:07:55,negative,0.9628904461860656,neutral,0.569952666759491,sadness,0.9905992150306702,negative,0.9604734778404236,negative,0.4520416855812073,negative
