,TWEET,USERNAME,DATE,TIME,MANUAL,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score
0,this its not anxiety when the fear is completely proportional to the situation at hand alberta continues to be an embarrassment in its handling of covid nationally and beyond,drfrayn,2021-08-01,2:14:32,0,negative,0.982884288,negative,0.841049194,anger,0.654176116,negative,0.999590933,negative,0.387915522
1,i fundamentally agree with dr saurabh jha who wisely said early in the pandemic the continued obsession with the denominator when the numerator speaks for itself is bizarre covid has killed children and is the leading cause of infectious deaths in children,lisa_iannattone,2021-08-01,2:46:00,0,negative,0.913389742,negative,0.911433697,fear,0.629182279,negative,0.852961123,negative,0.433345228
2,this years honoured to care award winner for respect is social worker sarah bateman she displays respect for patients and their families by supporting their emotional situational financial educational or practical needs ,OakValleyHealth,2021-08-01,20:32:02,0,positive,0.986504376,positive,0.924050212,love,0.713757277,positive,0.996877789,neutral,0.343366534
3,if you are a parent care a lot about case counts and public health measures even if cases arent translating to as many hospitalisations and deaths those cases are our kids and their healthlives even if its the healthlives of a minority of them arent expendable,lisa_iannattone,2021-08-01,21:10:52,1,neutral,0.715759456,neutral,0.556100726,joy,0.996917009,positive,0.900303185,negative,0.415239364
4,is coming to quebec qcs response has been far from perfect but id like to thank for being very clear just now that the th wave has begun amp that hospitalisationsdeaths will follow cases if we do nothing he gets the most improved ribbon,lisa_iannattone,2021-08-05,15:39:36,0,neutral,0.672353029,neutral,0.493444324,joy,0.996451259,positive,0.991324663,negative,0.380238831
5,it was exactly what i needed to get back what id lost says joanne weeks who joined a virtual seniorfriendly fitness program developed by and  in response to the pandemic see what else in our share newsletter this week,HamHealthSci,2021-08-05,17:23:01,0,positive,0.518704414,positive,0.560468853,sadness,0.886575043,positive,0.998921394,negative,0.39130789
6,another terrible headline why vaccines prevent infections hospital admissions and death hard stop whether those with breakthrough infections have similar ct values as nonvaccinated is not as relevant  plus several studies suggest transmission,DocDominik,2021-08-06,15:14:12,0,negative,0.971238554,negative,0.828294098,joy,0.984561324,negative,0.999974489,negative,0.516331375
7,following the science  get vaccinated as it reduces the risk of getting infected hospital admissions and death increasing ct values in vaccinated with breakthrough infections is not a main goal of getting vaccinated,DocDominik,2021-08-06,16:23:42,0,neutral,0.775641203,neutral,0.575979173,fear,0.637153745,negative,0.971752048,positive,0.40795207
8,fascinating read jane jacobss afterlife revisiting the death and life of great american cities years later,PackerTamar,2021-08-07,14:34:25,0,neutral,0.526897907,negative,0.476706117,joy,0.502586842,positive,0.999592841,negative,0.398178518
9,volumes are hitting record numbers with low volume never seen er docs and nurses dread the fall surge this much with schools reopening fluviral season th wavedelta fast approaching and highest rates of burnout and attritionthis is going to be a perfect storm,masood_sameer,2021-08-08,16:56:32,1,negative,0.960187256,neutral,0.402673662,joy,0.994918883,positive,0.60020262,negative,0.469363868
10,whats canadas rt today maybe i missed it but did any provinces particularly any that dropped all or nearly all public health measures bc ab sk mb nb release their projections for cases hospitalisations and deaths or are we just winging it asking for a friend,lisa_iannattone,2021-08-08,17:50:21,0,negative,0.873868108,neutral,0.609743059,sadness,0.998392999,negative,0.965920389,negative,0.414542854
11,the sad truth,lisa_iannattone,2021-08-10,13:18:32,0,negative,0.94001013,negative,0.683777332,sadness,0.972922385,negative,0.928625762,negative,0.511612475
12,some argue that vaccines will not prevent the delta wave yes case numbers are increasing and we expect them to continue doing so going into fallwinter but we will be preventing many cases and even more importantly reduce severe disease and deaths,DocDominik,2021-08-10,13:30:25,0,negative,0.810332417,neutral,0.560813963,joy,0.940142334,positive,0.661368132,negative,0.398339897
13,the common theme the link between case numbers and hospital admissions and deaths has weakened not broken at the population level the impact on the healthcare system primarily depends on the amount of transmission among the nonvaccinated,DocDominik,2021-08-10,13:30:26,0,negative,0.681394935,negative,0.551753342,sadness,0.995666742,positive,0.975202501,negative,0.413823992
14,symptom selfmanagement guides for people with kidney disease are available online learn what causes symptoms such as anxiety and fatigue tips to manage symptoms and when your patient should contact their health care team,OntarioHealthOH,2021-08-11,15:20:04,1,neutral,0.949489534,neutral,0.701452911,joy,0.467038333,negative,0.85442543,positive,0.373087168
15,so now that the govt has confirmed theyre going to let cases rise again in the fall at how many cases a day in quebec do you think theyll have to bring back the curfew because of stressed icus,lisa_iannattone,2021-08-11,16:08:53,1,negative,0.882839143,neutral,0.616139472,sadness,0.634439826,negative,0.925523818,negative,0.376746684
16,rt  just a tiny portion of cases per cent have been reported among people whove been fully vaccinated with a similar breakdown forhospitalizations and deaths in the same time period,allan_k_grillMD,2021-08-11,19:55:14,0,negative,0.600138366,neutral,0.558155775,fear,0.859884381,negative,0.999352753,positive,0.340747654
17,remember me when the truth becomes alone alone and sadimam hussain ibn ali rd,zikrejaana,2021-08-12,15:06:14,0,neutral,0.910222888,neutral,0.767920017,sadness,0.988393605,positive,0.996281683,neutral,0.396615922
18,on  we want to acknowledge how difficult the past months have been for teens and adolescents the pandemic has further intensified and exacerbated anxiety depression suicidality and overall hopelessness more,OakValleyHealth,2021-08-12,15:26:29,1,negative,0.941639721,negative,0.891328871,sadness,0.982896507,negative,0.844312549,negative,0.371615589
19,child amp adolescent services  kids help phone  or ontario distress centres,OakValleyHealth,2021-08-12,15:26:29,0,neutral,0.965900004,neutral,0.747507393,fear,0.833094597,positive,0.821498454,neutral,0.342169821
20,dear media more tyler blacks less prasads gandhis and makarys please,lisa_iannattone,2021-08-13,1:00:05,0,neutral,0.711841464,neutral,0.63210547,joy,0.494688034,negative,0.887370229,neutral,0.60632062
21,theres a total lack of leadership in this country at all levels im sad for canadians we deserve better,lisa_iannattone,2021-08-13,1:19:15,0,negative,0.983707011,negative,0.966981292,sadness,0.993170381,negative,0.999992013,negative,0.396451414
22, also adds that emotional dimensions of youth shouldnt be minimized a return to school will benefit them in many ways,HamHealthSci,2021-08-13,13:17:02,0,neutral,0.569568872,positive,0.694648266,sadness,0.970820427,positive,0.564319372,negative,0.372485995
23,developed with  a outlining quality care for people experiencing complications such as pain and vaginal bleeding andor the loss of their pregnancy in the first weeks is available learn more,OntarioHealthOH,2021-08-13,13:25:03,0,neutral,0.752676725,neutral,0.7111516,joy,0.97592169,positive,0.995213509,positive,0.40901345
