,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,TWEET,USERNAME,DATE,TIME,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score,Final_label
0,0,0,0,this mistake by government is an extremely serious one and will cause deaths,DrBrianDay,2018-08-03,13:52:46,negative,0.9817184209823608,negative,0.9630007147789,anger,0.6677923798561096,negative,0.9999125003814696,negative,0.6648386716842651,negative
1,1,1,1,vancouver records ghastly death count from suspected overdoses mayor,AnizKhalfan,2018-08-06,03:23:37,negative,0.9674922823905944,negative,0.9045536518096924,fear,0.9040290713310242,negative,0.9746102690696716,negative,0.4935652315616607,negative
2,2,2,2,clare gerada in memoriamdoctors who have died by suicide or accidental death  via,AnizKhalfan,2018-08-13,04:44:23,neutral,0.5494104623794556,negative,0.6236045360565186,sadness,0.9760353565216064,positive,0.9814662933349608,negative,0.5595970749855042,negative
3,3,3,3,i worry about how we ensure that human contact and relationships endure otherwise loneliness will prevail,DrRFernandez,2018-08-20,15:26:26,neutral,0.5887132883071899,negative,0.7493032217025757,sadness,0.9688632488250732,positive,0.7671120166778564,negative,0.4151160717010498,negative
4,4,4,4,government believes it owns and controls the bodies of its citizens no concern for human rights as patients are forced to suffer permanent harm suffering and even death,DrBrianDay,2018-08-30,15:36:33,negative,0.9533902406692504,negative,0.9399494528770448,sadness,0.9496586322784424,negative,0.9184704422950744,negative,0.5086719393730164,negative
5,5,5,5,loneliness is a serious publichealth problem  all the lonely people social connections important for resilience for chronic pain,AnizKhalfan,2018-09-03,06:03:28,negative,0.8398085832595825,negative,0.6727451086044312,joy,0.9217578172683716,negative,0.9664920568466188,negative,0.6473367810249329,negative
6,6,6,6,digital ambassadors are such a great idea  highly recommend this to and for upcoming events,DrRFernandez,2018-09-06,16:46:40,positive,0.99147230386734,positive,0.985024094581604,joy,0.997128427028656,positive,0.9980873465538024,positive,0.5733994245529175,positive
7,7,7,7,yes factors that impact resilience are social connections seeking professional support exercise sleep optimism emotional intelligence meaning making amongst others,AnizKhalfan,2018-09-15,01:38:10,positive,0.7688837051391602,neutral,0.7545613646507263,joy,0.9881900548934937,positive,0.991859257221222,positive,0.4333227872848511,positive
8,8,8,8,lets spead the word new film pulls back curtain on physician suicide,AnizKhalfan,2018-09-15,20:15:49,neutral,0.913033962249756,neutral,0.7898679971694946,sadness,0.9332415461540222,positive,0.9366922974586488,negative,0.3930772840976715,neutral
9,9,9,9,a beautiful tribute mary so sorry for your loss,AnizKhalfan,2018-09-22,05:12:48,positive,0.956479549407959,positive,0.5882326364517212,sadness,0.9885579347610474,positive,0.9920893907546996,negative,0.4393143057823181,positive
