,Unnamed: 0,TWEET,USERNAME,DATE,TIME,MANUAL,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score,Final_label
0,0,summer is the time for lots of fun activities for kids however some may be loud enough to cause hearing damage or loss heres a list of activities to make note of and options,HamHealthSci,2018-08-01,22:05:00,0.0,positive,0.771840215,neutral,0.45794633,joy,0.657224894,negative,0.56956315,negative,0.413072556,negative
1,1,sad case the shocking reason a mans legs and hands were amputated a dogs saliva  the star,IBmectin,2018-08-02,11:33:59,0.0,negative,0.972745836,negative,0.921851218,anger,0.418676198,negative,0.999077082,negative,0.608395457,negative
2,2,daniel is turning his near death experience into a positive as an ambassador for s strides for the general join him in supporting excellent care in ,HamHealthSci,2018-08-05,19:49:00,0.0,positive,0.987372935,positive,0.923444867,joy,0.710482001,positive,0.992539704,positive,0.516301155,positive
3,3,daniel fell while running and hurt his leg a few weeks later he was staring death in the face,HamHealthSci,2018-08-05,22:47:01,0.0,negative,0.918329358,negative,0.854654551,sadness,0.763679802,negative,0.999952674,negative,0.582051635,negative
4,4,joey and brandon have been best friends since childhood their neardeath experiences brought them even closer together see how theyre using their story to support ,HamHealthSci,2018-08-08,13:17:08,0.0,positive,0.985065401,positive,0.972422898,joy,0.929694533,positive,0.998606503,positive,0.391656041,positive
5,5,when maureen was being treated for cancer at msh her grandson jacob asked his mom if they could buy her a bear sadly maureen passed away in march as a tribute the tzogas family has brought nanny bear on a road trip to one of maureens favourite places disney world,OakValleyHealth,2018-08-08,14:43:40,0.0,neutral,0.912005246,neutral,0.672853887,sadness,0.929520547,positive,0.99709785,negative,0.349946767,neutral
6,6,sad i cant make it will be in the uk highly recommend others check it out,catriona_hippma,2018-08-09,19:48:45,0.0,negative,0.672087312,neutral,0.491677195,joy,0.903778851,positive,0.811770976,negative,0.368262976,negative
7,7,how do we view death less as a medical event and more as an event that happens in the context of the family and community how do we change our medical care to reflect this,AmitAryaMD,2018-08-10,10:00:13,0.0,neutral,0.633382201,neutral,0.564378798,joy,0.73073101,positive,0.989598513,negative,0.385670781,neutral
8,8,the majority of palliative patients die in hospital not in their home or in a residential hospicehow do we help patients die in their preferredplace of death read the latest research on quorum,OntarioHealthOH,2018-08-10,13:50:11,0.0,negative,0.945961654,negative,0.778191149,sadness,0.966089368,negative,0.528706193,negative,0.344928622,negative
9,9, re embolic protection devices in tavi there is a clinical event metaanalysis that showed a stat sig treatment effect favouring epd for a composite endpoint of deathstroke,RodrigoBagur,2018-08-12,21:24:54,0.0,neutral,0.880674243,neutral,0.850651085,joy,0.53373313,negative,0.63413763,negative,0.41893211,negative
10,10, re embolic protection devices in tavi there is a clinical event metaanalysis that showed a stat sig treatment effect favouring epd for a composite endpoint of deathstroke,RodrigoBagur,2018-08-12,21:32:10,0.0,neutral,0.880674243,neutral,0.850651085,joy,0.53373313,negative,0.63413763,negative,0.41893211,negative
11,11,great man caring physician a great loss,JohnsonNeilG,2018-08-12,22:51:52,0.0,positive,0.902654946,positive,0.469640136,love,0.980562031,negative,0.577704608,negative,0.367979586,negative
12,12,visit quorum to learn how and are improving care for patients with major depression using ,OntarioHealthOH,2018-08-15,20:25:07,0.0,neutral,0.690398335,neutral,0.494649291,joy,0.887921274,positive,0.984853268,neutral,0.473064184,neutral
13,13,this woman lost her son to fentanyl he was ,IBmectin,2018-08-15,21:57:44,0.0,negative,0.948261738,negative,0.901670933,sadness,0.998056591,negative,0.846806407,negative,0.639072657,negative
14,14,because people increasingly shun discussion of dying their firstever real discussion of endoflife preferences is often held near the point of death with attendant anxiety sadness and family tensionsa wonderfully written and profound article by,AmitAryaMD,2018-08-16,9:45:53,0.0,negative,0.759489417,neutral,0.46142593,sadness,0.861334026,positive,0.998141766,negative,0.377512485,negative
15,15,in ontario id order a nephrology econsult in order to get advice the turnaround time is quick less than week and can save the family physicianpatient several weeks of anxiety waiting for an inperson assessment check out,allan_k_grillMD,2018-08-26,12:04:40,0.0,neutral,0.738334596,positive,0.480777621,joy,0.844268501,positive,0.904747963,negative,0.346871346,positive
16,16,can be a stressful time for both parents and students here are some helpful tips to make the transition as stressfree as possible,OakValleyHealth,2018-08-30,14:40:18,0.0,neutral,0.7518031,positive,0.611061633,joy,0.998641908,positive,0.904898107,positive,0.383447111,positive
17,17,we tried for more than years now and still zero  pharmacist dedicated to stewarship where i work sadly not a priority for our administration ,sebpoule,2018-09-01,21:35:21,1.0,negative,0.966978908,negative,0.811216414,sadness,0.988821983,negative,0.992732704,negative,0.354491293,negative
18,18,still believe theres some sort of stressinduced type of story here wont stent the rca just for fun,RodrigoBagur,2018-09-03,15:00:14,0.0,negative,0.917197049,neutral,0.586646438,joy,0.983730793,negative,0.998128474,negative,0.366683036,negative
19,19,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-04,20:54:25,0.0,positive,0.809294462,neutral,0.462881207,joy,0.961187899,positive,0.665478945,neutral,0.358746648,neutral
20,20,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-05,16:57:44,0.0,positive,0.809294462,neutral,0.462881207,joy,0.961187899,positive,0.665478945,neutral,0.358746648,neutral
21,21,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-05,19:34:45,0.0,positive,0.809294462,neutral,0.462881207,joy,0.961187899,positive,0.665478945,neutral,0.358746648,neutral
22,22,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-06,19:28:09,0.0,positive,0.809294462,neutral,0.462881207,joy,0.961187899,positive,0.665478945,neutral,0.358746648,neutral
23,23,compassionate leadership in medicine  a possible antidote for burnout yes  its part of the solution via ,DocSandyB,2018-09-11,20:19:44,1.0,neutral,0.645674288,positive,0.76595366,love,0.991102099,positive,0.991298616,positive,0.441382349,positive
24,24,my sense of a good death is that it is aspirational as human beings we always need to hope we transition from hope for a longer life to hope for a better life to hope for a good death like dignity it is subjective we can describe it but there is no absolute experience,DocSandyB,2018-09-12,13:12:45,0.0,neutral,0.758707404,positive,0.543952227,joy,0.935596287,negative,0.654536188,positive,0.364296108,positive
25,25,sorry for your loss,wlharper1,2018-09-13,22:47:34,0.0,negative,0.820640147,negative,0.742634714,sadness,0.99638474,negative,0.508184075,negative,0.536972702,negative
26,26,recently read that the work of caregiving in the last four weeks of life is worth approximately  of unpaid hourswe must empower communities to support death dying and loss,AmitAryaMD,2018-09-20,0:39:18,1.0,negative,0.90804559,neutral,0.599653184,sadness,0.903392076,positive,0.850735962,negative,0.434147477,negative
27,27,indeed very well said watching u presenting and becoming emotional times the first one when the first km of primary endpoint where out it was a real privilege for me to be there chapeau gregg,RodrigoBagur,2018-09-26,2:53:40,0.0,positive,0.984347582,positive,0.937154531,sadness,0.991219103,positive,0.999278009,positive,0.396015316,positive
28,28,this is our respected commish so sad season hasnt even started,AnandDoobay,2018-09-28,4:03:27,0.0,negative,0.74918443,negative,0.680443645,joy,0.993020952,positive,0.588140726,negative,0.36737144,negative
29,29,its great that these questions are being raised as states a peaceful lifedeath transition is often more important than cancer treatment for many is everyones responsibility,AmitAryaMD,2018-09-30,19:14:15,0.0,positive,0.819369256,positive,0.729827881,joy,0.998323739,positive,0.984986126,negative,0.388986796,positive
30,30,the journey to end of life often results in a series of terrible losses loss of income loss of independence loss of dignity this is an issue in canada as well impacting vulnerable patients the most,AmitAryaMD,2018-10-01,10:40:46,0.0,negative,0.977364719,negative,0.927669466,sadness,0.983137608,negative,0.992999554,negative,0.533973634,negative
31,31,individuals who have experienced massive weight loss are no longer at risk of developing health issues related to excess weight a circumferential body lift can remove this skin revealing the true results of their weight loss,JeromeEdelstein,2018-10-02,13:02:38,0.0,negative,0.575852036,neutral,0.607199967,sadness,0.730888069,positive,0.997402728,positive,0.358243018,positive
32,32,a circumferential body lift can remove this skin revealing the true results of their weight loss learn more about this procedure,JeromeEdelstein,2018-10-02,14:18:25,0.0,neutral,0.967826903,neutral,0.82670182,joy,0.994074762,positive,0.962913334,negative,0.359776348,neutral
33,33,individuals who have experienced massive weight loss are no longer at risk of developing health issues related to excess weight a circumferential body lift can remove this skin revealing the true results of their weight loss,JeromeEdelstein,2018-10-03,13:27:15,0.0,negative,0.575852036,neutral,0.607199967,sadness,0.730888069,positive,0.997402728,positive,0.358243018,positive
34,34,i partially agree hysteria likely not warranted that being said there is concern re potential to lose herd immunity in future based on changing societal mores moreover measles can cause substantial morbidity death not only metric,IBmectin,2018-10-03,14:42:04,0.0,negative,0.952027321,negative,0.80299449,sadness,0.504771352,negative,0.999799073,negative,0.373755842,negative
35,35,decades after a neardeath accident these nurses reconnectedin the most unusual way,HamHealthSci,2018-10-09,14:47:28,0.0,negative,0.517288268,neutral,0.726428032,surprise,0.602879584,positive,0.999668956,negative,0.394831747,negative
36,36,nurses reconnect decades after neardeath experience,HamHealthSci,2018-10-09,17:03:31,0.0,neutral,0.910077929,neutral,0.868140876,joy,0.935452044,positive,0.999079347,neutral,0.495707035,neutral
37,37,in ontario major depression is the most common mental illness this see what quality care looks like,OntarioHealthOH,2018-10-10,18:30:44,0.0,negative,0.890994668,negative,0.877315402,joy,0.983943701,negative,0.817613184,negative,0.501936674,negative
38,38,when you age it is the decrease and redistribution of fat in your face that is the primary cause for the development of wrinkles sagging skin and loss of volume learn how fat transfers may be able to help,JeromeEdelstein,2018-10-11,14:43:23,0.0,negative,0.500320435,neutral,0.608096302,sadness,0.603990018,negative,0.998362124,negative,0.409623265,negative
39,39,when you age it is the decrease and redistribution of fat in your face that is the primary cause for the development of wrinkles sagging skin and loss of volume learn how fat transfers may be able to help,JeromeEdelstein,2018-10-11,16:38:22,0.0,negative,0.500320435,neutral,0.608096302,sadness,0.603990018,negative,0.998362124,negative,0.409623265,negative
40,40,as a society we have deskilled ourselves in managing death and dying instead it has become a medical problemwe must strengthen our communities to better cope with the cycle of life which inevitably includes death,AmitAryaMD,2018-10-14,10:24:35,0.0,negative,0.885212362,negative,0.811623931,sadness,0.886814773,negative,0.955913007,negative,0.408522695,negative
41,41,identifying and addressing gender bias in the workplace what leadership style will be most engaging to the largest number of people reclaim emotional style as a strength empathic supportive teambased,catriona_hippma,2018-10-15,1:03:31,0.0,positive,0.594133914,positive,0.613946855,love,0.894525886,positive,0.999244571,negative,0.361329049,positive
42,42,before getting down to the business of decision making focus on building social bonds and emotional needs be a person before a clinician eye contact be present be a human,catriona_hippma,2018-10-15,13:38:26,0.0,neutral,0.88995564,neutral,0.772169054,fear,0.453157514,positive,0.653347969,neutral,0.35903734,neutral
43,43,when you age it is the decrease and redistribution of fat in your face that is the primary cause for the development of wrinkles sagging skin and loss of volume learn how fat transfers may be able to help,JeromeEdelstein,2018-10-15,19:10:10,0.0,negative,0.500320435,neutral,0.608096302,sadness,0.603990018,negative,0.998362124,negative,0.409623265,negative
