,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,TWEET,USERNAME,DATE,TIME,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score,Final_label
0,0,0,0,its concerning that he has made himself famous by accusing others of greed he still has a following upon whom the irony of his continued accusations of coi are lost we are all prone to cults of personality i suppose,ShielaAppavoo,2020-01-03,22:26:28,negative,0.8026649951934814,neutral,0.5255239605903625,sadness,0.9139376878738404,negative,0.9990059733390808,negative,0.4244704842567444,negative
1,1,1,1,thats whats so infuriating about depression the black dog it feels like its wet fur is smothering us the dog pulls us into unfamiliar and terrifying territory you are not the black dog and im so sorry it has taken over for now pls dm if you want you are loved,dr_oona,2020-01-04,02:51:25,negative,0.9584949612617492,negative,0.9663712382316588,sadness,0.9893932342529296,negative,0.9984912872314452,negative,0.4012544751167297,negative
2,2,2,2,these men should consider i sexism contributes to burnout ii if women have more life balance issues its probably because their often male partners are not pulling their weight at home these wise words are as offensive as they are incorrect,bechardmel,2020-01-04,18:51:06,negative,0.9470171928405762,negative,0.8969555497169495,anger,0.99758780002594,negative,0.9996756315231324,negative,0.4371339082717895,negative
3,3,3,3,bills what are you doing i dont care who your kicker is th and is not happening what a colossal disaster epic fail,DocMcConks,2020-01-05,00:25:37,negative,0.9850996136665344,negative,0.9707360863685608,joy,0.9027037024497986,negative,0.9999603033065796,negative,0.4505937993526459,negative
4,4,4,4,ask the husband of my yo friend who died last month of breast cancer about the harms he wishes the abnormal report of her screening mammography had been received by her md and not lost for years until she presented with lymph node metastases,JeanSeely,2020-01-05,23:27:05,neutral,0.5261730551719666,negative,0.6501251459121704,sadness,0.5157824754714966,negative,0.9916859269142152,negative,0.5101255178451538,negative
5,5,5,5,im sorry for the loss of your patient  i have found team members can learn a lot and gain closure from reviewing these events and outcomes in detail,ShelleyZieroth,2020-01-06,04:04:20,neutral,0.8146884441375732,neutral,0.5401191711425781,joy,0.9777542352676392,negative,0.6405261158943176,negative,0.4805452227592468,negative
6,6,6,6,there is so much sadness going on in the world please enjoy a tortoise chasing a small iguana  too many days i feel stressed like the iguana but i am working toward the goal of being as calm amp patient as the tortoise slow and steady win the race,DrMCGregoire,2020-01-07,00:51:35,negative,0.7534364461898804,neutral,0.4650362133979797,anger,0.6122197508811951,positive,0.958909034729004,negative,0.4352697134017944,negative
7,7,7,7,wow martha i send twitter hug this is way more common than i thought st trim losses for me i took a day off to have a reqd dc  a pt made a complaint that i was not avail to discuss a result took off the time that u shouldnt operate heavy machinery  back work,ShelleyZieroth,2020-01-09,01:21:02,negative,0.5250523686408997,negative,0.7029487490653992,anger,0.9809258580207824,negative,0.9997220635414124,negative,0.456153005361557,negative
8,8,8,8,the world just lost a little bit of rhythm rest in peace neil peart thankyou for your words and music it was such a privilege to experience a true master of his craft doing exactly what hes meant to do,bechardmel,2020-01-10,22:54:45,positive,0.8526162505149841,positive,0.9234078526496888,joy,0.9970190525054932,positive,0.9972500205039978,positive,0.3908685445785522,positive
9,9,9,9,calling all med students residents and earlycareer physicians join the cma ambassador program before feb for a chance to attend a healthrelated event this year with your travel accommodation and registration expenses covered details,DoctorsOfBC,2020-01-13,21:05:10,neutral,0.7766725420951843,neutral,0.7939003109931946,joy,0.9918352365493774,positive,0.9832189679145812,positive,0.3582821488380432,neutral
