,TWEET,USERNAME,DATE,TIME,MANUAL,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score
0,me its a time to try new things herere a few memorable ones silent disco bringing polaroid back my cousins homemade coconut facial cream learning to cook amp destressing with a friends inflatable punching bag what about u,yvonneychan,2020-01-01,15:44:43,0,positive,0.933035433,positive,0.819190264,joy,0.997561812,positive,0.986718476,negative,0.344056696
1,parents pen book to help children facing death,mch_childrens,2020-01-03,14:52:40,0,neutral,0.865056694,neutral,0.709084213,sadness,0.923015058,positive,0.941783309,negative,0.353773385
2,outpatient specialist needs rounds reduce hospital use for residents for this vulnerable population with high symptom burden amp significant risk of death within a year our system must do better to provide these essential services,AmitAryaMD,2020-01-03,17:23:26,1,negative,0.773904562,negative,0.45614031,fear,0.870696127,positive,0.769595444,negative,0.362371773
3,it is with deep sadness that i announce the passing of my beloved father colin brasg overnight on january the nd i am heartbrokeni appreciate your support during this very difficult time,IBmectin,2020-01-03,19:18:29,1,neutral,0.65968436,negative,0.502623141,sadness,0.89972204,negative,0.744045317,negative,0.381939501
4, stark global inequities exist with access to pain medicine amp services a lot more work is to be done to improve quality of life amp death for those with serious illness in developing countries such as india,AmitAryaMD,2020-01-04,15:56:21,0,neutral,0.731709182,negative,0.655694485,sadness,0.629871488,negative,0.917165339,negative,0.526142061
5,someones mother has four sons north south and east what is the name of the fourth son private message me the name of the fourth son if you lose you have to repost i lost to ,allan_k_grillMD,2020-01-05,21:20:01,0,neutral,0.683117449,neutral,0.56506604,sadness,0.996776998,negative,0.933522582,negative,0.382205725
6,such an incredible tragedy and loss prayers for the victims their families and loved ones,masood_sameer,2020-01-08,18:43:18,0,negative,0.969802439,negative,0.793055058,joy,0.961684763,negative,0.564877152,negative,0.501627743
7,these parents have made something beautiful from a horrific loss,mch_childrens,2020-01-09,1:11:31,0,positive,0.633360684,positive,0.737559915,sadness,0.969558895,positive,0.99753511,negative,0.451754689
8,the tragedy of the plane crash in iran is close to home with the loss of two concordia alumni who were returning from their wedding in iran,DrNadiaChaudhri,2020-01-09,13:05:22,0,negative,0.785860896,negative,0.861238778,sadness,0.982929349,positive,0.990646958,negative,0.556786835
9,im very sorry for your loss,DrNadiaChaudhri,2020-01-09,13:08:32,0,negative,0.803232372,negative,0.660710633,sadness,0.995208919,negative,0.98469156,negative,0.485427171
10,i dont read arabic but i think youre sad because your sultan died i heard he was an amazing person my condolences,drzieglergyn,2020-01-11,5:51:24,0,negative,0.86210072,negative,0.84729296,joy,0.484188467,positive,0.542668223,negative,0.374730229
