,Unnamed: 0,TWEET,USERNAME,DATE,TIME,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score,Final_label
0,0,summer is the time for lots of fun activities for kids however some may be loud enough to cause hearing damage or loss heres a list of activities to make note of and options,HamHealthSci,2018-08-01,22:05:00,positive,0.7718399167060852,neutral,0.4579463303089142,joy,0.6572256088256836,negative,0.5695623159408569,negative,0.4130730628967285,negative
1,1,sad case the shocking reason a mans legs and hands were amputated a dogs saliva  the star,IBmectin,2018-08-02,11:33:59,negative,0.9727458357810974,negative,0.9218512177467346,anger,0.4186762273311615,negative,0.9990770816802979,negative,0.6083974242210388,negative
2,2,daniel is turning his near death experience into a positive as an ambassador for s strides for the general join him in supporting excellent care in ,HamHealthSci,2018-08-05,19:49:00,positive,0.9873729348182678,positive,0.9234448671340942,joy,0.7104827761650085,positive,0.9925397038459778,positive,0.516300618648529,positive
3,3,daniel fell while running and hurt his leg a few weeks later he was staring death in the face,HamHealthSci,2018-08-05,22:47:01,negative,0.9183294773101807,negative,0.8546546697616577,sadness,0.7636807560920715,negative,0.9999526739120483,negative,0.5820521116256714,negative
4,4,joey and brandon have been best friends since childhood their neardeath experiences brought them even closer together see how theyre using their story to support ,HamHealthSci,2018-08-08,13:17:08,positive,0.9850654006004333,positive,0.9724228978157043,joy,0.9296944737434387,positive,0.9986065030097961,positive,0.3916568458080292,positive
5,5,when maureen was being treated for cancer at msh her grandson jacob asked his mom if they could buy her a bear sadly maureen passed away in march as a tribute the tzogas family has brought nanny bear on a road trip to one of maureens favourite places disney world,OakValleyHealth,2018-08-08,14:43:40,neutral,0.9120052456855774,neutral,0.6728538274765015,sadness,0.929520845413208,positive,0.9970978498458862,negative,0.34994688630104065,neutral
6,6,sad i cant make it will be in the uk highly recommend others check it out,catriona_hippma,2018-08-09,19:48:45,negative,0.6720870137214661,neutral,0.49167701601982117,joy,0.9037788510322571,positive,0.8117700815200806,negative,0.368263304233551,negative
7,7,how do we view death less as a medical event and more as an event that happens in the context of the family and community how do we change our medical care to reflect this,AmitAryaMD,2018-08-10,10:00:13,neutral,0.6333819627761841,neutral,0.5643786191940308,joy,0.730731189250946,positive,0.9895985126495361,negative,0.38567087054252625,neutral
8,8,the majority of palliative patients die in hospital not in their home or in a residential hospicehow do we help patients die in their preferredplace of death read the latest research on quorum,OntarioHealthOH,2018-08-10,13:50:11,negative,0.9459616541862488,negative,0.7781910300254822,sadness,0.9660893678665161,negative,0.5287055373191833,negative,0.3449287712574005,negative
9,9, re embolic protection devices in tavi there is a clinical event metaanalysis that showed a stat sig treatment effect favouring epd for a composite endpoint of deathstroke,RodrigoBagur,2018-08-12,21:24:54,neutral,0.8806740641593933,neutral,0.85065096616745,joy,0.5337316989898682,negative,0.6341350674629211,negative,0.41893255710601807,negative
10,10, re embolic protection devices in tavi there is a clinical event metaanalysis that showed a stat sig treatment effect favouring epd for a composite endpoint of deathstroke,RodrigoBagur,2018-08-12,21:32:10,neutral,0.8806740641593933,neutral,0.85065096616745,joy,0.5337316989898682,negative,0.6341350674629211,negative,0.41893255710601807,negative
11,11,great man caring physician a great loss,JohnsonNeilG,2018-08-12,22:51:52,positive,0.9026544690132141,positive,0.4696404039859772,love,0.9805620312690735,negative,0.5777040123939514,negative,0.36797982454299927,negative
12,12,visit quorum to learn how and are improving care for patients with major depression using ,OntarioHealthOH,2018-08-15,20:25:07,neutral,0.690398097038269,neutral,0.4946492910385132,joy,0.8879210948944092,positive,0.9848532676696777,neutral,0.4730640649795532,neutral
13,13,this woman lost her son to fentanyl he was ,IBmectin,2018-08-15,21:57:44,negative,0.9482618570327759,negative,0.9016710519790649,sadness,0.9980565905570984,negative,0.8468060493469238,negative,0.6390764713287354,negative
14,14,because people increasingly shun discussion of dying their firstever real discussion of endoflife preferences is often held near the point of death with attendant anxiety sadness and family tensionsa wonderfully written and profound article by,AmitAryaMD,2018-08-16,09:45:53,negative,0.7594892382621765,neutral,0.4614258110523224,sadness,0.8613358736038208,positive,0.9981417655944824,negative,0.37751254439353943,negative
15,15,in ontario id order a nephrology econsult in order to get advice the turnaround time is quick less than week and can save the family physicianpatient several weeks of anxiety waiting for an inperson assessment check out,allan_k_grillMD,2018-08-26,12:04:40,neutral,0.7383342981338501,positive,0.48077741265296936,joy,0.8442672491073608,positive,0.9047482013702393,negative,0.3468714952468872,positive
16,16,can be a stressful time for both parents and students here are some helpful tips to make the transition as stressfree as possible,OakValleyHealth,2018-08-30,14:40:18,neutral,0.7518030405044556,positive,0.6110618710517883,joy,0.9986419081687927,positive,0.9048978686332703,positive,0.38344690203666687,positive
17,17,we tried for more than years now and still zero  pharmacist dedicated to stewarship where i work sadly not a priority for our administration ,sebpoule,2018-09-01,21:35:21,negative,0.966978907585144,negative,0.8112164735794067,sadness,0.9888219833374023,negative,0.9927327036857605,negative,0.3544911742210388,negative
18,18,still believe theres some sort of stressinduced type of story here wont stent the rca just for fun,RodrigoBagur,2018-09-03,15:00:14,negative,0.9171969294548035,neutral,0.5866466164588928,joy,0.9837307929992676,negative,0.9981284737586975,negative,0.3666834831237793,negative
19,19,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-04,20:54:25,positive,0.8092942833900452,neutral,0.4628811478614807,joy,0.9611877799034119,positive,0.6654794216156006,neutral,0.35874679684638977,neutral
20,20,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-05,16:57:44,positive,0.8092942833900452,neutral,0.4628811478614807,joy,0.9611877799034119,positive,0.6654794216156006,neutral,0.35874679684638977,neutral
21,21,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-05,19:34:45,positive,0.8092942833900452,neutral,0.4628811478614807,joy,0.9611877799034119,positive,0.6654794216156006,neutral,0.35874679684638977,neutral
22,22,we cant stress enough how important it is to do your homework prior to selecting your surgeon,JeromeEdelstein,2018-09-06,19:28:09,positive,0.8092942833900452,neutral,0.4628811478614807,joy,0.9611877799034119,positive,0.6654794216156006,neutral,0.35874679684638977,neutral
23,23,compassionate leadership in medicine  a possible antidote for burnout yes  its part of the solution via ,DocSandyB,2018-09-11,20:19:44,neutral,0.6456749439239502,positive,0.7659537196159363,love,0.9911019802093506,positive,0.9912986159324646,positive,0.44138237833976746,positive
24,24,my sense of a good death is that it is aspirational as human beings we always need to hope we transition from hope for a longer life to hope for a better life to hope for a good death like dignity it is subjective we can describe it but there is no absolute experience,DocSandyB,2018-09-12,13:12:45,neutral,0.7587069272994995,positive,0.5439516305923462,joy,0.9355966448783875,negative,0.6545364856719971,positive,0.3642960488796234,positive
25,25,sorry for your loss,wlharper1,2018-09-13,22:47:34,negative,0.8206399083137512,negative,0.7426345944404602,sadness,0.9963847398757935,negative,0.5081837773323059,negative,0.5369729995727539,negative
26,26,recently read that the work of caregiving in the last four weeks of life is worth approximately  of unpaid hourswe must empower communities to support death dying and loss,AmitAryaMD,2018-09-20,00:39:18,negative,0.9080455303192139,neutral,0.5996531248092651,sadness,0.9033920764923096,positive,0.8507363796234131,negative,0.43414807319641113,negative
27,27,indeed very well said watching u presenting and becoming emotional times the first one when the first km of primary endpoint where out it was a real privilege for me to be there chapeau gregg,RodrigoBagur,2018-09-26,02:53:40,positive,0.9843475818634033,positive,0.9371545314788818,sadness,0.9912191033363342,positive,0.9992780089378357,positive,0.3960155248641968,positive
28,28,this is our respected commish so sad season hasnt even started,AnandDoobay,2018-09-28,04:03:27,negative,0.7491841912269592,negative,0.680444061756134,joy,0.9930209517478943,positive,0.5881402492523193,negative,0.36737149953842163,negative
29,29,its great that these questions are being raised as states a peaceful lifedeath transition is often more important than cancer treatment for many is everyones responsibility,AmitAryaMD,2018-09-30,19:14:15,positive,0.8193690180778503,positive,0.7298278212547302,joy,0.9983237385749817,positive,0.9849860668182373,negative,0.3889869451522827,positive
30,30,the journey to end of life often results in a series of terrible losses loss of income loss of independence loss of dignity this is an issue in canada as well impacting vulnerable patients the most,AmitAryaMD,2018-10-01,10:40:46,negative,0.977364718914032,negative,0.9276694655418396,sadness,0.9831376075744629,negative,0.9929994344711304,negative,0.5339740514755249,negative
